,I_words,I_probability,E_words,E_probability,N_words,N_probability,S_words,S_probability,T_words,T_probability,F_words,F_probability,J_words,J_probability,P_words,P_probability
0,dream,0.84,debate,0.66,human,0.92,car,0.78,argument,0.64,beautiful,0.27,intuition,0.51,fuck,0.29
1,death,0.84,bored,0.66,soul,0.92,si,0.79,debate,0.64,hi,0.31,plan,0.49,lazy,0.31
2,listening,0.83,xd,0.68,belief,0.92,dominant,0.8,knowledge,0.63,xd,0.32,dear,0.49,shit,0.32
3,quiet,0.83,super,0.68,society,0.91,stereotype,0.81,intelligence,0.63,heart,0.32,dominant,0.48,creative,0.33
4,water,0.83,lol,0.69,concept,0.91,pay,0.81,shit,0.62,song,0.32,welcome,0.47,song,0.33
5,computer,0.83,fun,0.69,intelligence,0.91,tv,0.82,research,0.61,shy,0.33,goal,0.47,awesome,0.33
6,human,0.82,awesome,0.69,dark,0.91,dont,0.82,fuck,0.61,loved,0.33,rare,0.47,damn,0.34
7,beautiful,0.82,fuck,0.69,debate,0.91,computer,0.82,computer,0.6,dream,0.33,behavior,0.47,suck,0.34
8,music,0.82,haha,0.69,religion,0.91,buy,0.82,science,0.6,sensitive,0.34,friendship,0.47,bored,0.34
9,religion,0.82,crazy,0.7,brain,0.9,introvert,0.82,rule,0.6,love,0.34,user,0.47,dont,0.34
10,father,0.82,extrovert,0.7,depression,0.9,lazy,0.82,math,0.6,feel,0.34,present,0.47,fun,0.34
11,reality,0.82,hey,0.7,reality,0.9,fast,0.83,logical,0.6,glad,0.34,quality,0.47,stuff,0.34
12,born,0.82,guy,0.7,logical,0.9,super,0.83,logic,0.6,happy,0.34,understanding,0.46,music,0.34
13,cat,0.82,hot,0.71,world,0.9,phone,0.83,boring,0.59,boyfriend,0.34,trust,0.46,depressed,0.34
14,english,0.82,wink,0.71,light,0.9,annoying,0.83,statement,0.59,amazing,0.34,process,0.46,xd,0.34
15,memory,0.82,shit,0.71,intelligent,0.9,stress,0.83,stupid,0.59,thank,0.34,function,0.46,crazy,0.34
16,anxiety,0.82,exact,0.71,dream,0.9,drive,0.83,intelligent,0.58,lately,0.35,environment,0.46,bed,0.35
17,form,0.81,enneagram,0.71,evil,0.9,company,0.83,correct,0.58,dear,0.35,perc,0.46,basically,0.35
18,particularly,0.81,totally,0.71,connection,0.9,stick,0.83,smart,0.58,haha,0.35,father,0.46,art,0.35
19,soul,0.81,dating,0.71,woman,0.9,extrovert,0.83,information,0.58,hug,0.35,cold,0.45,cool,0.35
20,dislike,0.81,laughing,0.71,believe,0.9,art,0.83,theory,0.58,anxiety,0.35,information,0.45,weird,0.35
21,public,0.81,glad,0.72,knowledge,0.9,mom,0.83,concept,0.57,wish,0.35,hello,0.45,yeah,0.35
22,nature,0.81,fight,0.72,study,0.9,perc,0.83,joke,0.57,sad,0.36,perspective,0.45,kinda,0.35
23,science,0.81,joke,0.72,history,0.9,fun,0.83,brain,0.57,sweet,0.36,approach,0.45,super,0.35
24,game,0.81,cute,0.72,writing,0.9,member,0.83,plan,0.57,deep,0.36,research,0.45,game,0.35
25,entire,0.81,boring,0.72,die,0.9,enneagram,0.83,subject,0.57,soul,0.36,certainly,0.45,math,0.35
26,family,0.81,ok,0.72,logic,0.9,introverted,0.83,kill,0.57,felt,0.36,sister,0.45,class,0.35
27,pain,0.81,hug,0.72,strange,0.9,mbti,0.83,effect,0.56,hope,0.36,enneagram,0.45,kid,0.35
28,afraid,0.81,sex,0.72,men,0.9,watched,0.83,simply,0.56,depressed,0.36,comment,0.45,realized,0.35
29,lost,0.81,typing,0.72,self,0.9,bother,0.83,clearly,0.56,feeling,0.37,hi,0.45,hell,0.35
30,dead,0.81,curious,0.72,science,0.9,comfortable,0.83,unless,0.56,hurt,0.37,mistake,0.45,night,0.35
31,concept,0.81,damn,0.72,meaning,0.9,im,0.83,useful,0.56,totally,0.37,tendency,0.45,pretty,0.35
32,light,0.81,sweet,0.72,ideal,0.9,stay,0.83,obviously,0.56,relate,0.37,expect,0.45,god,0.36
33,cold,0.81,gon,0.72,exist,0.9,fit,0.83,non,0.56,helped,0.37,mother,0.45,ideal,0.36
34,society,0.81,boyfriend,0.73,idea,0.9,dad,0.83,lazy,0.56,wow,0.37,specific,0.44,lately,0.36
35,state,0.81,te,0.73,desire,0.89,late,0.83,discussion,0.56,cute,0.38,past,0.44,playing,0.36
36,comfortable,0.8,yeah,0.73,truth,0.89,description,0.84,religion,0.55,thanks,0.38,degree,0.44,grade,0.36
37,mother,0.8,argument,0.73,aware,0.89,worse,0.84,female,0.55,depression,0.38,action,0.44,cute,0.36
38,world,0.8,date,0.73,wonder,0.89,low,0.84,obvious,0.55,tired,0.39,clearly,0.44,write,0.36
39,particular,0.8,intuition,0.73,written,0.89,using,0.84,assume,0.55,eye,0.39,assume,0.44,got,0.36
40,internet,0.8,laugh,0.73,lack,0.89,usually,0.84,answer,0.55,proud,0.39,desire,0.44,girl,0.36
41,wish,0.8,career,0.73,argument,0.89,bed,0.84,buy,0.55,writing,0.39,aware,0.44,stick,0.36
42,written,0.8,si,0.73,heart,0.89,party,0.84,use,0.55,positive,0.39,forum,0.44,live,0.36
43,art,0.8,intuitive,0.73,beautiful,0.89,stuff,0.84,damn,0.55,voice,0.39,decision,0.44,joke,0.36
44,space,0.8,definitely,0.73,form,0.89,notice,0.84,goal,0.55,music,0.39,given,0.44,literally,0.36
45,suppose,0.8,thanks,0.73,god,0.89,job,0.84,pay,0.55,negative,0.39,purpose,0.44,started,0.36
46,outside,0.8,kinda,0.73,possibility,0.89,hell,0.84,lack,0.55,dad,0.39,advice,0.44,writing,0.36
47,rarely,0.8,woman,0.73,partner,0.89,dislike,0.84,effort,0.54,lol,0.39,simply,0.44,sad,0.36
48,eat,0.8,ex,0.73,purpose,0.89,degree,0.84,power,0.54,sorry,0.4,male,0.44,english,0.36
49,grade,0.8,party,0.73,true,0.89,hang,0.84,te,0.54,romantic,0.4,personal,0.44,hey,0.36
